Date,Open,High,Low,Close,Volume
26/11/2021 14:00,4091.39,4129.99,4066.71,4108.24,1901.921996
26/11/2021 15:00,4105.31,4105.31,4055.5,4066.84,2351.553786
26/11/2021 16:00,4065.44,4106.4,4027,4077.76,1661.803212
26/11/2021 17:00,4077.1,4118.13,4066.87,4078.56,984.0576954
26/11/2021 18:00,4076.21,4079,4036.16,4045.83,1068.438035
26/11/2021 19:00,4046.16,4096.64,4034.79,4086.34,970.9268283
26/11/2021 20:00,4085.7,4126.51,4064.06,4124.53,729.9770298
26/11/2021 21:00,4122.12,4130,4066.87,4069.53,523.2004844
26/11/2021 22:00,4069.47,4115.22,4057.88,4069.24,604.102405
26/11/2021 23:00,4071.72,4098.56,4030,4045.9,490.5834834
27/11/2021 00:00,4044.64,4102.14,4031.94,4073.82,382.2828642
27/11/2021 01:00,4081.83,4100.03,4057.89,4094.68,89.9184396
27/11/2021 02:00,4095.66,4128.28,4090.67,4116.91,2047.940111
27/11/2021 03:00,4117.22,4151.59,4104.29,4118.23,298.1052809
27/11/2021 04:00,4119.92,4149.91,4111.2,4132.72,385.4436142
27/11/2021 05:00,4137.51,4143.09,4097.37,4097.37,152.2710737
27/11/2021 06:00,4100.43,4117.11,4094.31,4100.38,425.7436264
27/11/2021 07:00,4100.38,4129.07,4093.11,4128.17,140.0939095
27/11/2021 08:00,4128.13,4186.07,4127.58,4165.97,612.2562519
27/11/2021 09:00,4163.21,4166.87,4132.98,4137.27,161.5047789
27/11/2021 10:00,4134.49,4158.52,4109.4,4137.77,466.209901
27/11/2021 11:00,4137.21,4153.39,4113.99,4117.39,265.5716985
27/11/2021 12:00,4116.16,4138.29,4110.16,4128.78,322.3120866
27/11/2021 13:00,4123.59,4161.4,4120.77,4144,185.8056091
27/11/2021 14:00,4143.93,4160.87,4118.91,4119.36,190.4072804
27/11/2021 15:00,4118.61,4144.19,4109.41,4138.41,217.4339867
27/11/2021 16:00,4135.26,4160.3,4128.02,4140.09,246.7142989
27/11/2021 17:00,4142.23,4154.57,4132.3,4141.74,120.3201417
27/11/2021 18:00,4140.81,4148.32,4118.58,4133.45,205.8289444
27/11/2021 19:00,4132.83,4135.1,4117.95,4119.78,81.29067047
27/11/2021 20:00,4120.31,4133.07,4055.07,4058.98,1314.390991
27/11/2021 21:00,4058.3,4097.72,4035.41,4080.26,658.9315208
27/11/2021 22:00,4088.08,4126.36,4083.8,4118.74,221.8737812
27/11/2021 23:00,4117.74,4120.87,4061.38,4100.3,206.808296
28/11/2021 00:00,4099.3,4099.9,4042.22,4085.53,165.7660296
28/11/2021 01:00,4079.24,4084.48,4027.46,4034.19,186.5342143
28/11/2021 02:00,4033.09,4055.67,3985,4050.82,832.1323626
28/11/2021 03:00,4058.55,4064.8,4016.18,4021.67,332.4548597
28/11/2021 04:00,4034.86,4043.06,4010.3,4020.73,199.5292832
28/11/2021 05:00,4024.6,4057.58,4018.43,4057.58,222.237693
28/11/2021 06:00,4051.64,4080.22,4034.73,4074.5,220.8607866
28/11/2021 07:00,4073.26,4082.51,4060.84,4074.07,112.3207253
28/11/2021 08:00,4073.32,4084.52,4051,4061.99,85.46554034
28/11/2021 09:00,4062.71,4072.86,4038.97,4070.39,110.2867831
28/11/2021 10:00,4069.71,4124.61,4056.45,4112.18,274.3370461
28/11/2021 11:00,4114.62,4131.74,4091.08,4100.56,157.2133475
28/11/2021 12:00,4101.56,4117.11,4075.92,4095.36,183.5921451
28/11/2021 13:00,4099.51,4104.65,4075.94,4083.21,115.9164624
28/11/2021 14:00,4084.97,4093.88,4048.77,4085.88,508.6340721
28/11/2021 15:00,4086.88,4090.88,4064.44,4079.66,175.080346
28/11/2021 16:00,4080.45,4092.15,4045,4070.33,579.2614891
28/11/2021 17:00,4074.72,4084.14,4020.49,4039.68,427.6052427
28/11/2021 18:00,4037.29,4058.56,3965.01,4051.49,1649.969579
28/11/2021 19:00,4049.14,4133.36,4048.04,4100,846.8819858
28/11/2021 20:00,4103.77,4150.57,4102,4143.13,310.4729597
28/11/2021 21:00,4143.63,4265.01,4136.51,4258.58,3009.060086
28/11/2021 22:00,4258.58,4296.61,4222.56,4228.21,1842.739944
28/11/2021 23:00,4228.21,4302.03,4225.69,4300.86,785.4230161
29/11/2021 00:00,4302,4374.52,4289.34,4348.99,672.6034153
29/11/2021 01:00,4347.12,4372.67,4324.06,4338.08,449.6297499
29/11/2021 02:00,4342.9,4343.84,4310.32,4311.29,274.0360181
29/11/2021 03:00,4314.23,4324.27,4294.41,4310.77,587.9673078
29/11/2021 04:00,4310.96,4359.19,4310.96,4328.39,489.9316913
29/11/2021 05:00,4329.22,4340.66,4319.44,4328.73,184.6406087
29/11/2021 06:00,4324.55,4342.41,4324.55,4340.48,419.097593
29/11/2021 07:00,4339.44,4368.16,4338.15,4353.75,253.3180315
29/11/2021 08:00,4356.41,4362.3,4317.47,4321.05,447.8235609
29/11/2021 09:00,4320.03,4339.47,4280.57,4297.57,1578.754764
29/11/2021 10:00,4294.87,4335.37,4292.36,4326.24,972.3117865
29/11/2021 11:00,4329.43,4337.4,4300,4303.2,505.4221371
29/11/2021 12:00,4301.54,4323.03,4298.29,4312.83,391.297164
29/11/2021 13:00,4311.59,4379.82,4311.41,4351.88,594.8629544
29/11/2021 14:00,4348.88,4372.49,4311.07,4323.15,856.9145825
29/11/2021 15:00,4326.59,4339.79,4306.22,4337.87,689.0373662
29/11/2021 16:00,4341.71,4415,4333.88,4413.71,908.4519659
29/11/2021 17:00,4412.39,4463.43,4409.41,4441.99,1209.653929
29/11/2021 18:00,4441.82,4454.74,4430.93,4431.6,407.6306938
29/11/2021 19:00,4435.94,4438.02,4384.18,4387.74,321.6320778
29/11/2021 20:00,4390.55,4427.09,4388.87,4414.58,2023.097914
29/11/2021 21:00,4415.75,4459.74,4411.2,4453.95,423.966083
29/11/2021 22:00,4454.08,4460.54,4432.54,4443.76,202.1903083
29/11/2021 23:00,4446.42,4459.43,4434.51,4448.71,542.7761948
30/11/2021 00:00,4449.57,4494.98,4439.38,4489.37,1400.259486
30/11/2021 01:00,4492,4508.48,4433.69,4464.42,2281.992682
